Movie Name,Storyline
The Soul Eater,"When violent and gruesome deaths starts plaguing a small mountain village, an old legend about a malevolent creature resurfaces."
Blue Cave,"Navy soldier Cem embarks on trip to ""Blue Cave"" he promised wife Alara. Journey unveils details of their relationship, affirming enduring love beyond death."
The Radleys,"A seemingly ordinary family actually has a dark secret: they are vampires. They choose not to drink blood despite their natural cravings, but their truth is revealed one day."
Rich Flu,Explores how far people would go to save themselves when the wealth that made the world go round then becomes its most dangerous commodity after a strange disease threatens to kill anyone with any sort of fortune.
Went Up the Hill,"Jack ventures to remote New Zealand for the funeral of his estranged mother and meets her widow Jill. But his mother's spirit returns to inhabit each of their bodies, instigating a life-threatening three-way nocturnal dance."
The Ruse,An in-home caregiver fears for her life after being assigned to a mysterious elderly patient in a remote seaside home.
The New Year That Never Came,"On the brink of revolution in 1989 Romania, six lives intersect amid protests and personal struggles, leading to the explosive fall of Ceausescu and the communist regime."
Amar Singh Chamkila,"Follows the life of pop star duo Amar Singh Chamkila and Amarjot Kaur, whose songs that were social commentaries or devotionals became massive hits in the 80's."
I Wish You All the Best,"After being kicked out of the house by their parents, a teen embarks upon a journey of self-discovery that teaches them about love, friendship, and family."
Scared to Death,"Jasper, a young filmmaker, seizes a chance to direct when his crew attends a seance in a haunted children's shelter. Trapped inside, they're haunted by ghostly orphans and a sinister force."
Avicii - I'm Tim,"Tim Bergling, a shy and insecure boy who, without realizing it, suddenly created one of the world's most loved artists - Avicii."
The Piano Lesson,"Follows the lives of the Charles family as they deal with themes of family legacy and more, in deciding what to do with an heirloom, the family piano."
I Am What I Am 2,"A Juan, an unknown person who came to Shanghai to work, agreed to participate in the ""Shanghai Fight Night"" martial arts competition on behalf of the declining Chuanwu Boxing Gym in order to make money to treat his father's illness."
Clear Cut,A team of loggers discover a meth cook site in the middle of the forest and are forced to fight for their lives while being hunted by a drug cartel.
Kabitan,"Alice, a depressed mistress, forms a deep emotional and sexual bond with Mika, her neighbor, who is also a mistress. Then, the inevitable happens, they fall for each other."
The Bloody Hundredth,It honors the heroes of the 100th Bomb Group.
The Containment,A dark and sinister being enters the body of an innocent child.
Undercover,"After spending several years infiltrating the circles of the Abertzale left as another young sympathizer of the terrorist group ETA, a police officer gets what she was looking for: ETA contacts her."
Prey,A young couple is compelled to leave their Christian missionary station in the Kalahari Desert after being threatened with death by an extremist militant gang. After crashing their aircraft they must battle man and beast for their lives.
Baby,"After his release from a juvenile center, Wellington finds himself homeless in São Paulo. At a porn theater, he meets Ronaldo, who mentors him in street survival. Their bond evolves into a turbulent affair."
The Backrooms,"After discovering the myth and legend of the Backrooms, a group of friends enter into Earth's darkest corners to find them - unknown to the danger they'd encounter. Now it's up to them to escape their own prison and avoid a fake reality."
Singham Again,"Bajirao Singham and a team of super cops must rescue his wife, Avni, who is producing a stage play based on the Ramayana, from a villainous kidnapper."
Dreaming of Lions,"A Brazilian woman with terminal cancer in Lisbon seeks to die with dignity and becomes involved with an organization that teaches euthanasia, but discovers the legal limitations and embarks on a journey to find its own way to die."
Killer Body Count,"Mistaken as a sex addict by her dad, Cami is sent off to a remote religious treatment center where the other kids are being hunted by a killer."
The Underdoggs,"Jaycen ""Two Js"" Jennings is a washed-up ex-professional football star who has hit rock bottom. When Jaycen is sentenced to community service coaching an unruly pee-wee football team, he sees it as an opportunity to turn his life around."
Lembayung,Pica and Arum were still doing practical field work (PFW) at that time. They underwent PFW at the dental clinic in a small hospital in Central Java.
Macbeth,"Macbeth encounters witches who foretell his kingship. Lady Macbeth hatches a plot to seize the throne. Guilt and paranoia consume them as rebellion and Lady Macbeth's spiral lead to their downfall, prophecies' sinister unraveling."
Within the Pines,"As sound recordist Sam Evans treks through an isolated forest, his mic picks up a sound no one wants to hear while alone in the woods."
Boléro,"In 1928 Paris, choreographer Ida Rubinstein commissions Maurice Ravel to compose the music for her next ballet. Facing a crisis of inspiration, the composer revisits his life and dedicates himself to create a universal masterpiece, Bolero."
Girl Haunts Boy,"Follows Bea, a teenager ghost who forms a special friendship with Cole, the new guy in town, whose house she has been inhabiting for over 100 years."
Grafted,A bright but socially awkward exchange student takes her craving for popularity to horrifying heights.
Turn Me On,"Under the control of a pill that eradicates human emotion, a young couple skip doses and discover new feelings, but realize that comes with emotional baggage to deal with."
Spilt Milk,"11 year-old boy dreams of becoming a great detective like his TV hero Kojak. He sets up a private investigation with his best friend, but the disappearance of his older brother sets them off down a dark path."
A Million Minutes,"Vera and Wolf Küper, parents to Nina and Simon, navigate work and family stress. Their world gets shaken with Nina's motor disorder diagnosis, reminding Wolf of her wish for a million minutes, just for the really nice things."
Race for Glory: Audi vs. Lancia,"A true David vs. Goliath story spotlighting the intense rivalry between Audi and Lancia at the 1983 Rally World Championship. Against all odds, Lancia battles to regain its former glory with a combination of innovation and courage."
Salawahan,"Melaine can't get enough with the two men in her life. When a new man arrives, she gives in to temptation."
Am I Racist?,"A man investigates diversity, equity and inclusion practices, revealing absurdities through hidden social experiments."
Love,"Marianne, a doctor, and Tor, a nurse, avoid relationships. After meeting on a ferry where Tor seeks casual encounters, Marianne explores the possibility of spontaneous intimacy, questioning societal norms."
The Thinking Game,"Chronicles visionary scientist Demis Hassabis' relentless pursuit to crack artificial general intelligence, a journey of extraordinary perseverance."
Tami's Fantasy,"A-Lister Azi Acosta approaches the sexier side of cosplaying. Tami, with the help of her fubu photographer, Ken, sells sexy photos of herself."
Lilly,About a courageous factory worker who fights for justice when cheated and mistreated by her company. Based on the life of Lilly Ledbetter.
Following,"A mystery thriller about a real estate agent who secretly enters clients' homes and becomes obsessed with a deceptive social media influencer. The film explores themes of obsession, identity and the dark side of social media."
Aftermath,"A returning war veteran, stricken with PTSD, unwittingly gets trapped with his teenage sister on Boston's Tobin Memorial Bridge as a heavily weaponized group of ex-military revolutionists take everyone hostage."
My Dead Friend Zoe,"Engaged in a mysterious relationship with her dead best friend from the Army, a female Afghanistan veteran comes head to head with her Vietnam vet grandfather at the family's ancestral lake house."
The Courier,Follows a hustler and his rise to the top of the corruption that surrounded the real estate bubble after the arrival of the euro in Spain.
Not What You Think,"Two brothers and a sister; Tahsin (44), Yasin (38) and Remziye (34) have to meet in the city they were born due to the mysterious death of their father. They realize that they remember their common past differently. The tangled structure of siblinghood is experienced in all its aspects. Nothing is as any of them know."
The Divine Sarah Bernhardt,"Sarah Bernhardt, dubbed ""La Divine,"" became the first global celebrity. The actress broke social conventions through her bold character and dramatic performances."
Dead Money,Professional poker player Andy and his girlfriend Chloe are involved in a crazy 24 hours after a home poker game is robbed. Andy ends up playing the largest poker game of his life as both of their lives are in danger.
Blood Star,A petty thief driving through the New Mexico desert finds herself the target of a psychopathic small town sheriff who views his badge as a license to prey on vulnerable young women. She must use all of her street-smarts to survive.
The Beast Within,"After a series of strange events leads her to question her family's isolated life on a fortified compound deep in the English wilds, 10-year-old Willow follows her parents on one of their secret late-night treks to the heart of the forest."
The Ties That Bind Us,"Exploring the challenges of modern family structures, the film follows a single father, a feminist librarian and a child seeking a place to belong as they navigate love and desires. It questions what it means to be a family."
Alienoid: The Return to the Future,"Pursuit of a divine sword drives Taoist time travelers, aliens, and bounty hunters across eras. Lee Ahn races to rescue trapped allies while an alien Controller unleashes Haava, leaving present day Earth in ruin."
"Beautiful Evening, Beautiful Day","Four close friends are renowned filmmakers in Yugoslavia in the 1950s, but their sexual orientation raises suspicion. A communist party loyalist is sent to sabotage their lives, turning their pursuit of freedom into a battle for survival."
#MissingCouple,"A real #vanlife couple were on an adventure to renovate an abandoned farm in middle-of-nowhere Mississippi. Cameras blazing, they chronicled their project on social media. But the farm was full of disturbing surprises, especially at night."
Bloodline Killer,Bloodline Killer is a terrifying horror-thriller that follows Moira Cole who endeavors to rebuild her shattered life after the murder of her family at the hands of her deranged and obsessed cousin.
Inheritance,"After the death of eccentric inventor Jan Peszek, a family gathers to inherit his fortune. Unexpectedly, he prepares a last game to test their reconciliation and teamwork."
The Knife,"After the mysterious appearance of a stranger in their home, a young Black family must deal with the fallout of their choices, big and small, as a steadfast detective tries to crack the case over the course of one fateful night."
ZEF: The Story of Die Antwoord,"The story of the controversial South African band Die Antwoord. Tracing them from their humble beginnings to global phenomenon. Like their music the documentary is shocking, provocative, highly creative and strangely funny."
Devils Stay,"A heart specialist doubts his daughter's death after an exorcism, believing her heart still beats. Amid her three-day funeral, he and a priest clash over the truth, each trying to prove their stance and potentially save her life."
House of Sayuri,"A family moves into a house, but discover that it is haunted by a murdered girl."
Crew,Follows three hard-working women as their destinies lead to some unwarranted situations and they end up caught in a web of lies.
Sex-Positive,"Virginia tumbles into a wild and thrilling new world of sexual liberation when she moves in with a group of polyamorous party animals, including the charming but commitment-phobic Jake."
Dragonkeeper,"The fate of ancient China rests on the shoulders of one young girl, who must find the last remaining dragon egg and fulfill her destiny."
The Roundup: Punishment,"Detective Ma Seok-do joins the Cyber Investigation Team to nab Baek Chang-ki, a former mercenary and the head of an online gambling organization."
TL,"Brenda, a top agent in a BPO company, is always overlooked for promotion. But not this time; as she gets more than intimate with her TL. Is her long awaited position within her reach? Or did she just put herself in a bad situation?"
The Last Sacrifice,"Interrogating true crime's cultural impact, from murderous origins to modern revival. Exposing British society's prejudices and dark underbelly."
Longing,A business mogul runs into his old small town girlfriend while she is visiting the big city only to find out that they had a child together that he was unaware of. Based on an award-winning foreign language film.
Broken Bird,"Sybil works at an undertaker's. It's a lonely job, with few perks. So she takes solace where she can."
Rez Ball,"The Chuska Warriors, a Native American high school basketball team from New Mexico, must band together after losing their star player if they want to keep their quest for a state championship alive."
Munkar,An oddity that caused unrest at an Islamic boarding school occurred since one of the female students returned.
Messy,"Follows the life of brutally self-aware, promiscuous, love addict Stella Fox, who moves to New York after a devastating breakup, and all her disappointing romantic dalliances over the course of a summer."
Grave Torture,Telling about the punishment of the grave which occurred after a man was buried.
The Flood,Follows the last days of Louis XVI and Marie Antoinette before they were executed.
Stormskerry Maja,"Seventeen-year-old Maja marries Janne, a fisherman, against her will. Her life on Stormskäret is full of challenges and setbacks. As a fisherman's wife, she has to fend for herself and take care of the family when her husband is at sea."
Ataturk II: 1881-1919,"After proving himself at Gallipoli in 1915, Mustafa Kemal began his journey, facing major battles against Russians on the eastern front and British in Syria, becoming the only undefeated Ottoman officer in WW1."
Aavesham,Three teenagers reach Bangalore for their engineering degree and gets involved in a fight with seniors. They find a local gangster named Ranga to help them take revenge.
Piece by Piece,"A vibrant journey through the life of Pharrell Williams, told through the lens of Lego animation."
The Menendez Brothers,"In 1996, the Menendez brothers faced trial for killing their parents, a case that captivated America. Years later, they share their side through interviews with those involved, offering a fresh take on the events."
Drawing Closer,"With only a year left to live, 17-year-old Akito finds new meaning in life by bringing joy to a terminally ill girl who has just six months remaining."
Let's Start a Cult,"After missing out on a long-awaited mass suicide, an obnoxious cult member teams up with his former leader to gain a new following."
Boot Camp,"Follows unathletic Whitney Carmichael, who signs up for an intense summer boot camp to reinvent herself and falls for her personal trainer. She then finds the strength to embrace her true self and ignore the others' expectations."
Hanu Man,An imaginary place called Anjanadri where the protagonist gets the powers of Hanuman and fights for Anjanadri.
Monster on a Plane,An exotic animal turns into a monster and becomes a deadly danger for all passengers.
Behind the Lines,Follows a passionate historian who travels the world to find and preserve letters written during times of war.
Pedro Páramo,"Follows a dusty road to a town of death. Time shifts from one consciousness to another in a hypnotic flow of dreams, desires and memories, a world of ghosts dominated by the figure of Pedro Páramo, lover, overlord, murderer."
True Fear,"When two female best friends hosting an online horror-themed history show together decide to make an episode about the site of a 17th century witch hunt, they find themselves seemingly terrorized by evil supernatural forces."
Handsome Guys,"Self-proclaimed tough guys 'Jae-pil' and 'Sang-gu' move into their dream European-style house. When unwanted visitors arrive, awakening an evil spirit hitherto sealed in the basement, a dark aura begins to envelop the house."
Players,"A sports writer unused to relationships falls for a fling, leading her to reconsider playing the field in favor of commitment."
I Am: Celine Dion,"A raw and honest behind-the-scenes look at the iconic superstar's struggle with Stiff Person Syndrome, a life-altering illness."
Ayalaan,"A lost alien seeks help to go back to his home, but everything gets harder after the alien returns to its home."
The Summer Book,"A young girl, Sophia (Emily Matthews) spends the summer with her father (Anders Danielsen Lie) and grandmother (Glenn Close) on a small island in the Gulf of Finland, as the family grapples with the recent death of Sophia's mother."
Ultraman: Rising,"Ken Sato is a superstar baseball player who returns to Japan to become the latest hero to carry the mantle of Ultraman. However, he is compelled to raise a newborn kaiju monster, the offspring of his greatest enemy, as his own child."
The Silent Planet,"Follows two inmates in the near future who are sentenced to a lifetime of hard labor on a distant planet. As things unravel, they become increasingly paranoid and start to lose a sense of who they are and their past lives."
The Bunker,"When mysterious alien ships appear in the sky, a scientist is sealed in an underground bunker and must create a bio-weapon to stop the unknown visitors, but paranoia and isolation cause her to question the true intention of her mission."
Bureau 749,A traumatized young man with physical abnormalities is forced to join a mysterious bureau to confront a disaster spreading across the earth caused by an unknown creature. He embarks on an adventure uncovering mysteries about his life.
The Girl in Yellow,"A college student falls in love with an ancient painting at a California antique shop. With each passing night, the lucky finder slowly discovers something unusual about the piece of art she bought. The portrait has a life of its own."
KA,"In a village where the sun sinks below the horizon by 3 PM, darkness creeps in early, bringing with it a chilling wave of inexplicable horrors."
Goebbels and the Führer,Nazi propaganda minister Joseph Goebbels is in charge of building public support for the Holocaust and for the war that Hitler is about to start.
The Kingdom,"Lesia, a teenager, is taken by a man to a villa where her fugitive father and his men are hiding. A war erupts, leading to death and a chase where father and daughter bond."
Sex,Follows two colleagues who in different ways struggle with the same issues about their sexuality.
Thank You for Banking with Us,"When their father passes away leaving a large sum of money in the bank, two sisters put their differences aside and join forces against Sharia law, according to which their brother has the right to take double what they are entitled to."
Audrey's Children,"1969. Dr. Audrey Evans joins world-renowned children's hospital and battles sexism, medical conventions, and the subterfuge of her peers to develop revolutionary treatments and purchase the first Ronald McDonald House, impacting millions."
Play Along,"A relentless captor preys on young women, forcing them into a deadly game of psychological warfare using costumes. When 17-year-old Skylar becomes the first to outsmart him, a battle of wits ensues in a fight for their very survival."
Hitpig!,A bounty hunter pig finds himself trekking the globe with a free-spirited elephant he intended to capture.
Handling the Undead,"On a hot summer day in Oslo, the dead mysteriously awaken, and three families are thrown into chaos when their deceased loved ones come back to them."
Harbin,Follows Korean independence activists who launched a daring attack in Harbin against the Japanese to gain their country's independence.
The Mehta Boys,"A father and son embark on an involuntary 48-hour odyssey, navigating clashing perspectives as they confront the intricate nuances of their strained relationship."
Hell Hole,"Hell Hole hails from the filmmaking family behind Hellbender and centers on an American-led fracking crew that uncovers a living French soldier frozen in time from a Napoleonic campaign, whose body hosts a parasitic monster."
Happyend,"In near-future Tokyo, the threat of a catastrophic quake looms. Two friends prank their principal before graduation, leading to school surveillance installation."
Tina,"A woman, grieving her daughter's death in the Christchurch quakes, becomes a substitute teacher at an elite school. Unexpectedly, she discovers students lacking guidance and care, prompting her to provide inspiration and support."
Everyone Is Going to Die,An entrepreneur is attempting to reconnect with his daughter on her Birthday. The party is interrupted and they are taken hostage by two masked female robbers who appear to have real problems with the Patriarchy.
Forbidden Desire,"Agatha and Ubel's turbulent romance leads to a devastating breakup. Though she finds a new partner, Agatha can't get enough of Ubel. They continue their illicit affair until she finds out that Ubel has a secret that can ruin her life."
Phir Aayi Hasseen Dillruba,"While evading the cops in Agra, Rani and Rishu scheme to run away together. But when their plans go awry, Rani asks a mild-mannered admirer for help."
Solvent,"While hunting Nazi papers in Austria, researchers find a dark secret beneath a farmhouse. As expat Gunner Holbrook pursues the mystery, his grip on reality slips. He battles an evil force, racing to save himself."
Justice League: Crisis on Infinite Earths - Part Two,The Anti-Monitor (the Monitor's evil counterpart) is released into the DC Multiverse and begins to destroy the different Earths that compose it. The Monitor attempts to recruit heroes from across the Multiverse to fight back.
Baby Invasion,"An ultra-realistic, multiplayer FPS game follows a group of mercenaries using baby faces as avatars. Tasked with entering mansions of the rich and powerful, players must explore every rabbit hole before time runs out."
Good One,"During a weekend backpacking trip in the Catskills, 17-year-old Sam navigates the clash of egos between her father and his oldest friend."
Buy Now! The Shopping Conspiracy,"Pulls back the curtain on the world's top brands, exposing the hidden tactics and covert strategies used to keep all of us locked in an endless cycle of buying, no matter the cost."
Die Hart 2: Die Harter,"Hart plans an innovative action film with unscripted, unexpected scenes to cement his legacy as the greatest. However, a blind spot leads him to fall victim to a vengeful plot from his past."
Detained,"A woman wakes up in a police interrogation room with no memory of the night prior. However, something does not seem quite right in this police station."
Silent Love,"Just love. In this complicated and muddy age, this is the most sad love story of this winter, gently holding up a transparent pure love."
El 47,"Inspired on the true story of Manolo Vital, a bus driver who helped create the modern Barcelona during the 1970s city's boom."
Midas Man,"On Thursday 9 November 1961, a man named Brian descended the stairs to a cellar in Liverpool and changed the world forever."
Blackout,"The streets of Pune, where a single night of darkness engulfs the city in mystery, as crime reporter Lenny, gets entangled in a web of greed and misfortune."
Why Do You?,"Love comes without asking. Often not to those, not so and not then. Can a genuine feeling survive when everything started wrong and the whole world is against it? Give up everything or give up? Burn or survive?"
Viraaji,"The story happens in Visakhapatnam. A group of four people (a film producer, a stand up comedian, a doctor and a pre wedding shoot photographer) goes to a place top attend performa sanmanam event of a celebrity astrologer."
Michael Jackson: Ungloved,"From modest childhood beginnings to international fame, this is the journey of the 'King of Pop,' Michael Jackson's complicated world. Unquestioned talent transcends years of scrutiny over the real superstar wearing the symbolic glove."
Daddysitter,"Mara, a student taking on an unusual ''daddysitter'' job. As she grows close to her wealthy, ill client, his estranged son's return complicates everything."
Sikandar Ka Muqaddar,"After an unsolved diamond heist, a hard-nosed cop's pursuit of his key suspect turns into obsession, until they finally face each other and the truth."
Woh Bhi Din The,"A renowned photojournalist returns to his alma mater as a guest speaker, reminiscing about his carefree school days and first love"
Gelin Takimi,"A group of female friends take a holiday bachelorette trip, where they let their hair down, flirting with strangers, and indulge in a party lifestyle."
Toxic,"Dreaming of an escape from the bleakness of their hometown, two teens form a unique bond at a local modeling school, where the promise of a better life pushes girls to violate their bodies in increasingly extreme ways."
A House on Fire,"Montse, divorced and with two children who have long since ignored her, has been preparing for a family reunion at her home on the Costa Brava. Nothing, absolutely nothing, will prevent her from enjoying one last weekend with her family."
Elton John: Never Too Late,"It showcases never-before-seen concert footage of him over the past 50 years, as well as hand-written journals and present-day footage of him and his family."
The Stickman's Hollow,A series of mysterious and savage murders plague an area of remote wilderness known for its insidious past.
Push,Follows a realtor who must survive a night of terror when a deranged client shows up at her open house.
Mix Up,"Two couples at a marital crossroads embark on a journey to rekindle their bonds, only to find unexpected connections that challenge their desires and redefine the true meaning of love."
CTRL,"Nella and Joe are the perfect influencer couple, but when he cheats on her, she turns to an AI app to erase him from her life - until it takes control."
First Taste,"Yuna, a woman engaged with her long time boyfriend, Nicco, starts to have second thoughts when she meets again her first love, Becca. Now she is torn between the man she loves and the woman she first loved."
Revolver,"An ex-police officer embarks on a single-minded goal upon leaving jail, after serving a sentence for crimes committed under dubious circumstances."
Yacht Rock: A Dockumentary,"Chronicles the rise of the smooth West Coast sound pioneered by artists like Steely Dan, Toto, and Michael McDonald, exploring its widespread influence."
The Tiger's Apprentice,"Tom Lee, a Chinese-American boy, after the death of his grandmother, has to be apprenticed to the talking tiger Mr. Hu and learn ancient magic to become the new guardian of an ancient phoenix."
Standing on the Shoulders of Kitties,"Bubbles' band ""The Shitrockers"" lands a European tour but gets kicked off, forcing them to busk. Randy is their roadie. Can Ricky and Julian save them from the streets of Prague?"
Universal Language,An absurdist triptych of seemingly unconnected stories finds a mysterious point of intersection in this tale set somewhere between Winnipeg and Tehran.
"From Hilde, with Love","In Berlin 1942, Hilde is a member of an anti-Nazi group. She falls in love with another member, Hans. The two spend a summer together until they get caught by the Gestapo and Hilde is imprisoned, eight months pregnant."
Katas,"Carmina works as a maid in a mansion and soon learns about the dirty secret of their masters, Alex and Grace."
The Second Act,"Florence wants to introduce David, the man she's madly in love with, to her father. But David isn't attracted to her and wants to throw her into the arms of his friend Willy. The characters meet in a restaurant in the middle of nowhere."
200% Wolf,"When Freddy Lupin's wayward wish transforms him into a werewolf and deposits a mischievous moon spirit on Earth, Freddy must restore the cosmic order before the earth and moon collide."
Pegasus 2,"A former rally driving champion, now down on his luck, finds new partners to re-enter a famed rally race."
Life After Fighting,"A martial arts instructor is confronted with the disappearance of two of his students, leading him into a direct confrontation with a group of international child traffickers."
Apollo 13: Survival,"In April 1970, NASA faced the greatest crisis in its history; three astronauts halfway to the moon on a spacecraft that had suffered a catastrophic explosion."
Die Alone,Tells the story of a young man who has amnesia. He bands together with a rugged survivalist in a zombie-like outbreak to find his girlfriend.
Mononoke the Movie: The Phantom in the Rain,"A deadly and mysterious master of the occult travels across feudal Japan, seeking malevolent spirits called Mononoke to slay. He must uncover their Form, Truth, and Reason to wield the mighty Exorcism Sword against them."
Another End,"Two people who have loved each other, and continue to love each other, even after one of them dies."
Eye for an Eye 2,"A blind swordsman reluctantly mentors an orphan seeking vengeance for his destroyed family, teaching him martial arts skills. The orphan waits for an opportunity to avenge his kin."
No Tomorrow,"In a desperate and bloody civil war, four soldiers' political and ethical perspectives are put to the test, threatening their camaraderie. One of the soldiers discovers a glimmer of hope where he least expects it."
Paradox Effect,"An ex junkie witnesses a murder. She is forced to cooperate with the killer to save her daughter's life. She must fight time, the police and criminal underworld to save the only person who means something to her."
Night of the Zoopocalypse,A wolf and mountain lion team up when a meteor unleashes a virus turning zoo animals into zombies. They join forces with other survivors to rescue the zoo and stop the deranged mutant leader from spreading the virus.
The Image of You,"After Anna meets a stock trader, she thinks he's perfect, but her identical twin sister Zoe doesn't trust him, so she sets out to discover the truth about him."
In Our Blood,"Filmmaker Emily Wyland reunites with estranged mother for documentary. When mother disappears, Emily and cinematographer Danny pursue clues to her whereabouts amidst traces of her past addictions."
Night Shift,"A young nurse with a past of family violence starts working the night shift at a small hospital, where during the night a ghost nurse materializes."
Seeking Haven for Mr. Rambo,"On a quest to save Rambo, his dog and best friend; Hassan is forced to confront the fears of his past and rediscovers himself."
To a Land Unknown,A Palestinian refugee living on the fringes of society in Athens gets ripped off by a smuggler and sets out to seek revenge.
Bonjour Tristesse,Cécile's relaxing summer with her father in the south of France is upended by the arrival of the enigmatic Anne.
Trouble,"Conny, a divorced salesman, gets wrongfully imprisoned for murder. There, he meets criminals who mistake him for a pilot like his ex-wife's new boyfriend. Chaos ensues as he navigates life behind bars while separated from his daughter."
Before We Forget,"An Argentinian filmmaker struggling to finish a movie about his unrequited first love receives an unexpected invitation to reconstruct his memories, revisit his past and perhaps even find a new ending to his story."
Animale,"Camargue, France - Nejma trains hard to win the local bullfighting competition. When she is mauled after a celebration, she starts to notice disturbing changes. News of a rogue bull on the loose terrifies the community, killing young men."
Winter in Sokcho,"A young Korean girl's life takes an unexpected turn when a French artist visits her country, disrupting her routine."
Music by John Williams,Follows the life of legendary composer John Williams.
K-Pops!,"Follows a washed-up musician who jumps at the chance to capitalize on his long-lost son's stardom for his own renaissance, but learns that fatherhood is much more than stardom."
The Inheritance,"A billionaire on the eve of his 75th birthday, invites his estranged children back home out of fear that tonight someone or something is going to kill him. He puts each of their inheritances on the line, to make sure they'll help."
Arcadia,"Radiant psychologist Katerina has to confront her worst suspicions as she accompanies Yannis, an early once-respected doctor, to identify the victim of a tragic car accident at an off-season seaside resort."
Grand Tour,"Edward, civil servant, flees fiancée Molly on their wedding day in Rangoon, 1917. His travels replace panic with melancholy. Molly, set on marriage, amused by his escape, trails him across Asia."
Siddharth Roy,"Siddharth Roy Embraces logic and reason but is overwhelmed by emotions, resulting in heartache and inner turmoil."
The Commandant's Shadow,"Follows Hans Jürgen Höss, the son of Rudolf Höss, the Camp Commandant of Auschwitz when he confronts his father's involvement in the murder of over a million Jews during the Holocaust."
Pavements,"Documentary about the American indie band Pavement, which combines scripts with documentary images of the band and a musical mise-en-scene composed of songs from their discography."
Limonov: The Ballad of Eddie,"The outrageous story of Eduard Limonov, the radical Soviet poet who became a bum in New York, a sensation in France, and a political antihero in Russia."
The Great Ambition,"Follows the life of the great and popular political leader Enrico Berlinguer, who almost led Italy's Communist Party into power in 1978."
Black Storm,"After reporting criminal leader Wei Tianlang, Gu Dahe's disappearance and his sister's suspicious death triggers Lei Yang, the criminal investigation unit captain, to step in and uncover the truth."
The Moogai,"A young Aboriginal couple brings home their second baby. What should be a joyous time takes a sinister turn, as the baby's mother starts seeing a malevolent spirit she is convinced is trying to take her baby."
Riefenstahl,"Explores Leni Riefenstahl's artistic legacy and her complex ties to the Nazi regime, juxtaposing her self-portrayal with evidence suggesting awareness of the regime's atrocities."
Jimmy and Stiggs,"A perfect storm of lousy news sees out-of-work filmmaker Jimmy Lang spiral into a bender, during which he claims to have been abducted by aliens, and fearing their return, he contacts his old friend Stiggs to help him gear up for war."
Ullozhukku,"A family's attempt to bury a loved one is thwarted by floodwaters, forcing them to confront long-buried secrets and lies that threaten their unity."
The Visitor,"A refugee arrives at the home of an upper-class family in London and seduces each member of the family. When he suddenly is gone, he leaves behind a void that the rest try to fill in different ways."
Architecton,"An extraordinary journey through the material that makes up our habitat: concrete and its ancestor, stone."
Escape,Follows the struggles of a North Korean sergeant who is chased by a ruthless major after he defects.
She's Got No Name,"A bizarre case caused thousands of waves. There are different opinions on the truth. When the whole story of the case was gradually restored like pieces of a puzzle, people realized that the truth was not that important anymore."
B.O.Y.: Bruises of Yesterday,"A 16-year-old boy who spends the summer with his grandparents falls in love with an older young man, but when tragedy strikes he falls into a dark hole of self-harm, lust, and loneliness."
Made in England: The Films of Powell and Pressburger,"Examines the influence of the English producers and directors. Features rare archival material from the personal collections of Powell, Pressburger and Scorsese."
Last Breath,Doctor Augustin Masset engages renowned writer Fabrice Toussaint in a philosophical dialogue exploring life and death. A series of profound encounters guides Toussaint to confront his fears and anxieties.
Matka,"Rising through the ranks of the criminal world, a man becomes a key player in a massive nationwide gambling operation."
To Kill a Wolf,"In a modern re-imagining of Little Red Riding Hood, a social pariah discovers a teenage runaway in the Oregon Wilderness and does his best to help her find a way home - a troubling exploration of trauma and redemption."
Ghost Cat Anzu,"Friendship shared between Karin, a strong-minded girl sent to live with her monk granddad in the Japanese countryside, and Anzu, the even-more unpredictable phantom feline who acts as her guardian."
Citadel,"In the citadel of Besançon, Annah is worried when her daughter is kidnapped. She calls and is told by a man that he has kidnapped her. She will have to perform increasingly violent acts if she wants to see her daughter again."
Same Old West,"In the backlands of Goiás, two brutal men, after being abandoned by the same woman, turn violently against each other."
All Illusions Must Be Broken,"Through the lens of American cultural anthropologist and Pultizer Prize-winning author Ernest Becker, ALL ILLUSIONS MUST BE BROKEN is a cinematic rumination on human mortality and the lengths to which we go to deny it."
Runaway Revenge,"Sofía, a former Olympic runner, agrees to work as a drug mule for a cartel to pay for her leg surgery. After being ambushed by corrupt police officers, she discovers that what she's carrying is something out of this world."
Boss Ma'am,"When a terror female boss was blackmailed by her assistant, she has no choice but to obey and play with her."
Black Eyed Susan,"Derek takes a job at a tech firm, developing an AI sex doll named Susan. As he explores the boundaries of desire, pleasure, and pain with Susan, he confronts profound questions about humanity in an uncertain future."
Timing,Two young ex-lovers randomly reconnect.
An Unfinished Film,"January 2020. A film crew reunites near Wuhan to resume the shooting of a film halted ten years earlier, only to share the unexpected challenges as cities are placed under lockdown."
100 Litres of Gold,"Two middle-aged sisters in a Finnish village promise to brew beer for a wedding but drink their entire batch. In a hilarious race against time, they struggle with hangovers while trying to make more beer and save their reputations."
Diane Warren: Relentless,"The untold story of a legendary songwriter. Featuring Cher, Common, Jennifer Hudson, Gloria Estefan, Kesha, LeAnn Rimes, and more."
The Old Bachelor,"Two Iranian brothers live with their abusive father. When he rents to a young woman planning to marry her, her attraction to the older son creates tension in their already fractured family."
